GEOID,Pct_NonWhite,Pct_PublicTrans,Pct_RentBurden,Pct_BelowPov
06037101110,47,55,52.50,11.7
06037101122,27.7,12,69.77,6.4
06037101220,55.8,109,43.23,17.8
06037101221,56.1,33,68.72,14.3
06037101222,54,59,55.33,13.9
06037101300,28,25,37.34,7.8
06037101400,37,1,79.51,6.9
06037102103,20.9,8,89.97,9
06037102104,30.4,40,32.56,5
06037102105,82,0,46.01,9.4
06037102107,29,0,51.38,13.9
06037103101,35.1,0,51.91,4.1
06037103102,34.9,10,87.98,11
06037103201,48.7,40,60.58,10.3
06037103202,47,16,0.00,2.5
06037103300,27.4,0,83.72,8.5
06037103401,33.4,6,57.99,5.4
06037103402,40.9,50,27.77,8.6
06037104103,93.7,8,71.33,11.9
06037104105,96.3,110,72.25,22
06037104108,98.8,57,52.86,13.8
06037104124,65.3,70,64.68,8.9
06037104201,99.5,61,70.10,10.9
06037104203,99.3,76,75.24,21.9
06037104204,88.7,12,52.23,14.2
06037104310,98.7,41,51.91,12.3
06037104321,99.6,46,62.62,15.7
06037104322,95.6,41,87.33,7.8
06037104401,97.1,18,58.42,21.8
06037104403,98.5,0,75.31,22.7
06037104404,98.6,86,57.21,14.2
06037104500,98.3,104,77.38,33.8
06037104610,97.9,27,72.56,8.7
06037104620,95.5,52,65.96,19.6
06037104701,99.7,91,51.86,30.3
06037104703,91.2,0,49.06,17.7
06037104704,92.5,58,64.12,23.7
06037104821,95.7,44,44.59,16.4
06037104822,98.5,86,64.52,27.4
06037104823,98.6,63,89.92,22.1
06037104824,99.6,26,68.42,10.5
06037106010,81.6,5,69.27,5.2
06037106020,92.2,20,64.90,17.4
06037106111,74.1,7,0.00,4.9
06037106112,83.1,1,38.31,14.4
06037106113,88,0,72.64,3.4
06037106114,96.3,53,60.77,25
06037106403,91.6,22,60.20,8.8
06037106405,89,7,38.76,17.4
06037106406,80.3,22,54.63,3.7
06037106407,91.4,43,76.44,34.8
06037106408,96,51,60.12,29.6
06037106510,87.1,81,81.36,15.5
06037106520,95.5,47,61.85,13
06037106603,54.1,37,64.44,5.7
06037106604,95,131,61.29,12.4
06037106641,35.5,6,60.98,6.6
06037106642,34,21,84.07,8.1
06037106643,48.5,54,16.95,2.8
06037106645,44.1,33,85.71,5.2
06037106646,59.9,15,70.55,5.7
06037106648,93,11,62.72,13.5
06037106649,90,17,83.33,4.9
06037107010,94.5,16,57.94,4.4
06037107020,93.6,29,68.80,18.4
06037108101,47.4,2,10.61,3.5
06037108102,50.1,0,54.07,11.8
06037108103,43.2,27,93.07,6.3
06037108104,42.3,0,61.90,2.9
06037108202,69.1,0,74.39,3.3
06037108203,62,0,62.00,5.3
06037108204,63.9,0,43.48,2.8
06037109100,67.3,52,59.34,8.8
06037109200,63.3,16,21.85,5.5
06037109300,71.7,13,60.36,5.3
06037109400,87,50,72.91,5.4
06037109500,93.1,113,55.81,17.2
06037109601,76.8,25,59.90,7.6
06037109603,90,35,58.67,11.8
06037109604,86.1,55,56.21,10.8
06037109700,66.1,76,60.86,5.4
06037109800,64.6,51,68.07,10.1
06037111100,71.3,8,44.48,7.3
06037111201,71.3,22,37.50,8.2
06037111202,62.5,116,48.65,9
06037111204,56.5,0,22.51,2.1
06037111205,63.6,17,49.33,9.8
06037111206,50.4,0,67.65,6.2
06037111302,57.3,27,60.92,9
06037111303,49.5,0,73.51,5.5
06037111304,88.6,21,61.34,25.7
06037111401,61.9,9,62.36,3.9
06037111402,55.2,97,59.15,14.7
06037113101,38.6,11,60.77,11.9
06037113102,55.8,0,61.29,3.5
06037113211,53.2,8,44.58,7.4
06037113212,64.1,0,68.08,3.6
06037113213,63.6,5,45.08,5.5
06037113231,38.2,10,89.62,4.7
06037113232,47.7,33,53.85,8.4
06037113234,80.7,61,44.46,17.6
06037113235,50.5,0,68.72,13.1
06037113237,59.6,8,36.18,5.4
06037113238,83.7,122,65.11,11.3
06037113239,77.3,88,73.53,10
06037113301,48,97,62.26,11.4
06037113303,71.4,55,39.20,7.4
06037113322,52.4,0,53.63,12.4
06037113323,72,0,51.89,9.8
06037113324,77.3,14,30.95,5.5
06037113423,72.4,93,68.35,9.4
06037113424,70,14,78.43,7.4
06037113425,86.6,185,68.71,9.1
06037113426,70.9,14,62.09,16.7
06037113427,81.5,151,64.02,16.1
06037113428,50.9,13,80.81,9
06037115101,43.4,25,47.86,8.7
06037115103,64.3,6,35.71,37.5
06037115104,68.8,132,60.03,21.8
06037115202,73.2,126,75.45,24.7
06037115203,65.4,16,55.38,20
06037115204,64.5,49,52.39,10.7
06037115301,61.6,10,55.06,8.8
06037115302,88,128,70.87,18.1
06037115401,68,29,78.47,16.7
06037115403,78.8,51,49.18,27.9
06037115404,81.2,100,62.96,9.7
06037117101,81.9,189,68.02,11.5
06037117102,76.3,61,82.88,9.7
06037117201,85.4,255,73.15,25
06037117202,74.4,0,61.90,10.5
06037117301,69.9,0,43.88,5.5
06037117302,62.2,58,65.57,7
06037117303,71.6,0,69.29,7.2
06037117404,71.1,129,66.11,10.6
06037117405,94.5,157,63.83,28
06037117407,98.1,86,59.16,29.7
06037117408,92.4,104,60.87,37.5
06037117510,91.4,331,67.62,24.2
06037117520,93.7,117,70.09,40.7
06037117530,90.5,158,55.38,29.8
06037119001,91.1,20,47.06,9.2
06037119003,95.9,75,66.90,18.1
06037119004,90.4,0,62.12,9.5
06037119201,93.7,21,36.54,9.1
06037119202,97.5,36,44.62,17.2
06037119310,76.5,130,63.77,9.9
06037119320,90.3,148,51.62,16.4
06037119340,96.6,214,66.90,33.3
06037119341,94.7,75,64.26,16.3
06037119342,93.6,175,67.99,11.4
06037119400,91.8,32,60.11,9.8
06037119700,77.2,0,36.08,3.6
06037119801,91.3,31,57.26,13.7
06037119802,94.1,27,35.20,15.7
06037119900,94.4,126,72.45,2.6
06037120010,93.8,67,55.26,13.9
06037120020,92.4,211,69.36,22
06037120030,89.6,129,56.83,30.4
06037120103,97,203,77.16,34.8
06037120104,89.6,65,56.71,22.2
06037120105,93.7,58,62.17,19.2
06037120106,97.5,242,79.34,33.2
06037120107,95.6,55,67.50,35.1
06037120108,89.7,215,58.82,25
06037120300,77.3,184,69.82,17.3
06037120400,74.3,109,59.48,15.6
06037121010,70.5,137,59.22,8.2
06037121020,68.4,49,72.71,11.2
06037121101,82.7,96,48.88,11.6
06037121102,58.4,4,63.87,5.9
06037121210,87.3,23,63.04,9.2
06037121221,86.4,0,31.67,9.3
06037121222,90.9,157,57.82,14.8
06037121600,60.4,27,63.39,17.1
06037121801,86.9,102,71.78,10.9
06037121802,80.5,78,51.94,18.8
06037121900,83.1,69,54.90,12
06037122000,56.3,49,62.86,10.6
06037122120,85.7,51,48.07,14.3
06037122121,88.4,33,56.82,28
06037122122,92.6,106,73.04,29.4
06037122200,86.9,7,68.70,10.9
06037122410,93.1,114,47.27,19.4
06037122420,92.2,127,58.64,16.5
06037123010,91.1,76,86.09,27.3
06037123020,84.1,70,60.98,7.7
06037123103,69.8,34,48.38,10.6
06037123104,67.5,193,60.31,25
06037123203,81,100,71.69,26
06037123204,82.9,160,60.81,24.2
06037123205,82.1,207,64.34,34.6
06037123206,90.9,60,53.81,18.9
06037123301,66.5,77,69.65,7.9
06037123303,62.6,262,54.58,19.1
06037123304,53.7,166,69.25,15.5
06037123410,60.6,121,80.28,29.1
06037123420,65.4,177,63.20,20.2
06037123510,61.3,126,65.43,21.7
06037123520,64.4,45,70.77,16
06037123601,50.9,227,52.78,17.1
06037123602,46.1,216,64.95,23.6
06037123700,46.1,32,53.20,12.7
06037123800,36.6,58,54.45,14
06037123901,65.4,275,64.48,23.7
06037123902,51.2,22,50.23,18.2
06037124000,29.3,25,54.87,17.8
06037124102,69.1,163,60.09,28.3
06037124103,76.8,97,56.18,12.1
06037124104,75.7,89,69.08,20.3
06037124105,75.8,117,57.02,16.5
06037124201,79,103,52.76,10.1
06037124203,73.5,70,60.89,9.3
06037124204,71.5,102,60.27,28.6
06037124300,65.4,100,61.40,6.7
06037124400,40.1,0,54.16,8
06037124500,43.1,65,68.59,15.5
06037124600,26.7,8,67.72,3.7
06037124700,28.5,105,44.40,8.9
06037124902,54.6,99,50.43,12.2
06037124903,50.2,83,62.77,14.5
06037125101,61.2,124,51.89,13.9
06037125102,29.7,23,56.61,9.4
06037125200,47.7,134,56.51,7.6
06037125310,62.4,108,52.33,11.9
06037125321,50.8,68,75.24,14.8
06037125322,64.7,63,74.85,28.7
06037125402,49.4,63,59.30,7.9
06037125403,57.2,179,67.53,14.1
06037125404,64.8,122,61.38,17.5
06037125501,41.6,20,54.32,14.2
06037125502,42.2,53,52.71,16.8
06037125600,44.6,10,53.05,9.1
06037127102,78.2,155,75.83,25.7
06037127103,77.6,293,51.59,10.4
06037127104,69.4,86,83.75,21.5
06037127210,80.6,196,56.18,8.7
06037127220,88.6,193,71.06,22.3
06037127300,79,207,58.72,7.6
06037127400,84.9,226,54.78,17.2
06037127520,92.9,311,63.19,24.6
06037127603,95.2,101,59.30,25.7
06037127604,69.6,105,71.77,24.4
06037127605,80.8,121,57.19,22.2
06037127606,77.2,35,59.82,25.3
06037127711,71.7,81,47.70,22.2
06037127712,78.6,68,60.90,22.5
06037127803,78.5,24,62.24,21.7
06037127804,78.5,155,58.63,13.8
06037127805,77.7,179,57.59,27.8
06037127806,84,90,54.99,9.3
06037127910,86.4,166,65.62,24.9
06037127920,49.4,304,62.07,22.2
06037128101,58.8,61,58.29,10.7
06037128102,85.3,171,55.02,14.3
06037128210,89.3,210,65.93,26.1
06037128220,64.9,81,60.52,19.2
06037128302,84.3,209,64.96,30.6
06037128303,89.5,179,67.10,34.1
06037128400,50.1,212,56.22,7.8
06037128500,41.6,65,52.84,8.5
06037128601,68.7,223,51.89,13.8
06037128602,40,46,68.47,13.8
06037128703,44.7,81,51.07,9.2
06037128704,32.6,37,37.00,7.3
06037128801,43.7,23,61.57,11.7
06037128802,51,83,52.72,5.9
06037128910,42.4,43,47.76,7.6
06037131021,78.1,154,64.56,10.5
06037131022,81.4,130,62.27,21.5
06037131023,77.8,26,63.64,12.4
06037131024,80.9,20,39.64,14.3
06037131100,58,8,89.42,5.1
06037131200,49.1,28,76.70,7.3
06037131300,84.6,48,65.22,6.9
06037131400,71.5,51,64.78,10.4
06037131600,82.6,31,57.04,14
06037131701,75.9,57,68.12,21
06037131702,75.2,60,85.62,7.3
06037131801,84.6,17,61.98,17.7
06037131802,76.7,0,59.80,5.4
06037131900,64.1,87,28.13,3.9
06037132001,61.7,0,59.56,13.7
06037132002,66.5,30,58.11,4.9
06037132101,64.8,28,61.68,30.9
06037132102,68,97,71.06,22.7
06037132301,85.2,168,48.33,19.6
06037132302,78.6,108,65.67,9.4
06037132501,70.3,16,49.64,9.1
06037132502,53.1,0,61.16,15.9
06037132700,64.9,112,71.93,19.2
06037132900,44.9,15,75.79,8.8
06037133000,66.7,0,40.72,13.3
06037133101,42,40,42.00,4.4
06037133102,53.9,127,65.36,16.5
06037134001,87.6,128,66.41,11.1
06037134002,83,140,65.49,21.9
06037134101,78.9,0,64.85,24.5
06037134103,77.3,76,72.62,32.3
06037134104,80.8,97,73.59,17.9
06037134201,77.9,48,65.04,7.6
06037134302,64.4,77,55.84,13.8
06037134303,53.5,47,33.33,7.2
06037134304,64,0,70.55,13.2
06037134305,93.6,115,60.44,16.4
06037134306,81.2,84,68.01,13.1
06037134421,39.4,12,79.07,3.4
06037134422,45.1,15,58.33,5
06037134423,33.9,9,75.84,10.7
06037134424,30.8,0,70.19,5.3
06037134520,87.4,350,62.81,21.6
06037134521,98.5,163,62.35,28.4
06037134522,80.9,228,58.25,23.3
06037134710,85.7,118,72.05,29.9
06037134720,80.6,6,62.03,13.2
06037134801,74,10,72.79,15.5
06037134802,69.4,0,71.76,31.5
06037134901,42.4,45,66.35,8.1
06037134904,79.7,251,60.96,12.2
06037134905,57.8,93,57.93,16.5
06037134906,80.1,48,43.80,14.3
06037134907,49.6,108,46.44,25.3
06037135102,47.2,35,29.55,8.8
06037135111,57.6,73,34.24,8.3
06037135113,49,32,45.20,14.7
06037135115,70.5,36,49.12,5.6
06037135116,35.9,0,46.72,17.8
06037135201,35.4,12,63.00,15.1
06037135202,39.7,0,62.70,8.8
06037135204,43.7,67,59.56,4.4
06037135205,24.2,0,45.63,9.1
06037137000,30.7,20,44.96,6.9
06037137103,35.1,0,64.36,17.7
06037137104,31.7,0,29.03,10.3
06037137202,46.9,20,61.99,13.6
06037137203,55,66,46.13,9.6
06037137301,24.1,9,36.36,1.5
06037137302,28.9,10,29.45,8.8
06037137401,32.7,103,34.89,8.6
06037137402,42.6,0,50.34,3.3
06037137501,41.4,31,61.42,14.7
06037137502,38.7,18,51.97,3.4
06037137504,37.6,0,0.00,3.7
06037138000,19.8,0,67.14,3.3
06037139001,30.2,65,36.15,8.5
06037139200,29.7,0,68.67,7.4
06037139301,39,0,62.28,5.5
06037139302,69.4,159,52.66,17.1
06037139303,48.7,126,58.91,7
06037139401,37,10,60.77,6.7
06037139402,27.6,0,66.00,11.3
06037139502,27,64,58.85,5.6
06037139504,23.3,103,66.20,15.4
06037139505,43.6,16,78.80,21.1
06037139506,27.4,18,73.77,5.5
06037139600,18.7,0,50.94,6.9
06037139701,12.4,29,42.28,12.2
06037139703,18.1,0,62.50,2.4
06037139704,14.4,0,86.74,6.8
06037139705,21.6,18,57.69,2
06037139801,18.7,0,100.00,6.5
06037139802,25.7,44,37.27,3.8
06037141101,38.3,25,56.82,7.2
06037141102,37.6,0,52.34,6.9
06037141201,47.6,16,44.35,9.7
06037141202,28.1,0,49.14,6.3
06037141303,38.8,17,55.61,15
06037141304,23.9,42,54.19,10.7
06037141305,43.6,25,47.31,9.9
06037141306,31.7,72,57.16,1.6
06037141400,35.9,45,70.95,8.9
06037141500,21.8,0,0.00,2.7
06037141600,26.2,0,70.21,6.2
06037141700,14.7,0,34.88,1.3
06037143101,30.7,0,55.15,2.5
06037143102,37,15,54.28,7.4
06037143200,49.8,121,70.58,7.9
06037143301,36,10,55.63,7.5
06037143302,30.3,34,51.76,6.7
06037143401,36.2,51,53.47,7.5
06037143402,17.2,0,40.72,1.7
06037143500,24.5,71,46.05,3.7
06037143602,25.5,78,55.11,12.8
06037143603,41.5,16,63.34,10.1
06037143605,46.5,29,56.01,10.1
06037143606,42.6,93,41.62,11.1
06037143700,24.1,0,53.46,6.4
06037143801,43,13,30.20,7.6
06037143802,25.4,0,48.49,6
06037143901,22.4,0,54.19,3.2
06037143902,36.7,12,39.37,10.3
06037181000,54.8,55,39.31,8.2
06037181300,70.2,60,49.76,6.6
06037181400,70.6,93,30.18,7
06037181500,69.8,39,70.56,14.2
06037181600,69.3,46,51.85,4.6
06037183101,68.8,0,52.12,16.8
06037183103,73.2,233,37.74,8.7
06037183104,71.9,33,38.19,10.6
06037183220,73.2,41,35.94,6.8
06037183221,75,148,72.81,10.4
06037183222,59.2,72,33.89,11.1
06037183300,80.1,81,45.31,8
06037183401,81.6,75,61.56,12.3
06037183402,72.3,74,48.61,11.5
06037183510,79.7,82,56.71,5.8
06037183520,86.7,233,54.18,14
06037183610,78.5,86,61.68,17.4
06037183620,76.2,66,49.74,12.8
06037183701,79.5,212,56.97,14.2
06037183702,77.8,16,44.78,4.1
06037183810,81.2,150,54.02,21
06037183820,90.2,171,36.69,8.6
06037185101,61.6,61,46.03,2.9
06037185102,40.8,29,73.53,8.7
06037185202,56.6,112,55.09,6.8
06037185203,86.1,130,44.11,13.2
06037185204,62.8,37,35.94,15.1
06037185310,91,152,43.39,20
06037185320,90.7,141,47.97,23.2
06037186100,63.9,20,46.25,4.9
06037186201,74.5,28,53.18,11.5
06037186202,77,85,51.16,14.1
06037186203,49.1,0,40.23,8.7
06037186301,81.2,108,65.05,19.9
06037186302,60.3,28,51.20,6.5
06037186401,95.2,115,50.98,22.1
06037186403,85.5,33,32.43,9
06037186404,77.8,75,56.90,25.7
06037187101,66.2,59,57.59,5.9
06037187102,83.3,26,63.59,20.4
06037187200,74.1,28,57.75,8.9
06037187300,46.2,8,49.67,7.7
06037188100,57.5,32,53.67,14.9
06037188201,37.3,21,49.92,12.8
06037188202,49.5,37,60.34,6.5
06037188300,59.6,163,27.59,5.4
06037189101,29.7,98,46.90,7.7
06037189102,30.8,91,43.58,7
06037189201,36.4,192,44.34,16.8
06037189202,29.4,33,36.61,5.5
06037189300,34.1,14,39.02,12.9
06037189400,26.8,35,52.52,9.8
06037189501,23.6,50,49.30,11.5
06037189502,41.5,186,60.66,21.8
06037189600,33.3,114,53.27,9.2
06037189702,28.3,21,54.92,8.6
06037189703,49.4,12,68.62,7.4
06037189704,36.8,94,54.51,13.7
06037189801,28.2,0,49.21,5.9
06037189802,39.5,13,42.58,14.3
06037189903,29.6,10,55.59,6.8
06037189904,43.5,148,67.15,22.1
06037189905,40.6,22,56.31,14.4
06037189906,45.1,127,53.66,12.4
06037189907,45.4,33,45.88,6.9
06037190101,51.1,155,60.50,31
06037190102,49.4,45,52.70,13
06037190201,73.6,386,57.56,13.3
06037190202,58.2,160,58.85,23.6
06037190302,49.3,39,49.32,14.1
06037190303,39.5,283,53.40,23
06037190401,47.3,209,54.69,10
06037190402,46.2,309,47.47,17
06037190510,67.7,396,59.01,31.3
06037190520,64,202,52.73,22
06037190701,60.6,135,42.42,28.5
06037190702,52.3,74,60.00,9.9
06037190801,66.8,135,49.72,27.7
06037190802,65.9,85,53.84,20.6
06037190901,81.3,428,50.29,29.9
06037190902,76.8,436,46.24,16.4
06037191000,63.2,259,56.28,12.7
06037191110,44.2,243,58.54,41.8
06037191120,72,365,63.21,16.9
06037191201,49.2,156,60.85,25.6
06037191203,75.6,324,56.98,34.8
06037191204,75.1,140,41.40,20
06037191301,73.7,127,47.38,19.6
06037191302,66.7,141,47.13,12.3
06037191410,83.9,565,53.25,27.5
06037191420,82.3,267,64.53,12.4
06037191500,79.4,362,46.55,21.8
06037191610,79.7,396,70.77,21.4
06037191620,81.2,274,56.15,24.9
06037191710,82.9,163,66.37,30.2
06037191720,90.6,602,52.22,15.6
06037191810,77.1,216,61.23,10.4
06037191820,48,128,56.12,13
06037191901,50.4,307,50.08,19.7
06037191902,32.3,29,64.97,13.2
06037192001,35.4,33,56.92,18.3
06037192002,22.1,32,43.73,8.8
06037192300,43.3,45,66.01,12.2
06037192410,46.3,111,39.74,6.4
06037192420,85.5,191,59.05,16.2
06037192510,95.5,439,62.94,19
06037192520,91.2,277,60.38,21.4
06037192610,84,329,69.55,26
06037192620,92.8,364,57.08,27.3
06037192700,75.8,269,54.79,18.9
06037194101,35.5,110,63.61,8.4
06037194102,32.9,0,60.91,9.6
06037194200,18.7,27,70.24,2.1
06037194300,20.2,0,61.63,7.8
06037194401,40.5,23,45.66,9.7
06037194402,25.1,24,53.86,10.6
06037194500,21.6,0,57.50,6.6
06037195100,39.5,50,55.59,5.4
06037195201,32.6,43,29.24,9.9
06037195202,33.3,83,46.98,6.6
06037195300,44.6,146,45.76,14.4
06037195400,36.2,111,47.01,8.4
06037195500,51.4,130,35.48,6.6
06037195600,68.7,251,45.38,23.3
06037195710,77.3,305,70.65,30.9
06037195720,61.8,91,49.64,12.5
06037195802,78.6,181,49.52,15
06037195803,55,91,48.97,12.6
06037195804,75.9,143,24.30,10.5
06037195901,54.3,81,48.36,15.2
06037195902,38.5,18,35.16,4.5
06037195903,65.4,82,50.71,12.2
06037197200,90.8,91,34.98,4.4
06037197300,52.9,98,43.35,5.7
06037197410,54.4,35,44.27,6.3
06037197420,57.7,179,50.66,9.2
06037197500,65.2,392,43.36,16.8
06037197600,64.6,93,50.85,29.5
06037197700,78.6,125,69.13,16.8
06037199001,99.1,152,62.24,24.4
06037199002,80.6,122,68.26,13.9
06037199110,92.7,77,33.77,15
06037199120,91.7,47,60.02,33.6
06037199201,96.6,174,48.18,23
06037199202,76.3,88,45.48,15
06037199300,78.9,263,50.00,11.9
06037199400,93.3,163,54.08,30.5
06037199700,89.3,154,62.33,18
06037199801,99,345,65.32,17.4
06037199802,95.5,95,53.77,13.1
06037199900,97.9,159,56.03,21.1
06037201110,85.8,21,53.31,8.9
06037201120,88.1,122,37.28,13.6
06037201200,90.3,81,41.39,11.9
06037201301,87.6,94,29.29,15.6
06037201302,80.1,66,26.36,6.9
06037201401,90.5,61,67.83,28.4
06037201402,92.5,44,47.98,13.9
06037201501,91.6,87,57.03,13.1
06037201503,92.5,61,40.86,8.5
06037201504,92.1,36,53.20,13.5
06037201601,93.8,36,54.01,18.5
06037201602,92.2,52,38.57,10
06037201700,85.7,229,44.47,10.8
06037203100,98.4,107,48.05,19.2
06037203200,96.9,179,50.82,27.9
06037203300,87.9,76,61.36,36.8
06037203500,93.7,72,53.26,26
06037203601,99.6,35,67.32,27
06037203602,96.5,34,50.76,24.4
06037203710,98.2,78,46.32,21.7
06037203720,98.2,151,65.83,24.7
06037203800,98.2,133,53.68,21.4
06037203900,95.5,60,30.00,20.3
06037204110,98.1,53,68.10,30.1
06037204120,98.7,71,44.63,7.3
06037204200,98.7,120,55.22,31.2
06037204300,98.2,149,50.00,23.2
06037204410,97.2,106,57.35,26.7
06037204420,98,262,45.38,32.2
06037204600,96.2,96,63.04,20.3
06037204700,95.6,155,51.60,23.4
06037204810,99.1,198,62.32,17
06037204820,97.9,137,69.10,13.4
06037204910,95.5,54,50.75,26
06037204920,97.2,39,44.06,15.1
06037205110,99.6,242,60.62,24.2
06037205120,99.6,96,67.33,36
06037206010,85.7,140,59.11,25.6
06037206020,83.1,32,34.69,13
06037206050,94,144,42.78,18.7
06037206051,45.5,0,46.81,4.4
06037206052,73.3,77,48.56,12.9
06037206053,93.4,159,53.24,27.5
06037206054,99.8,72,44.07,40.9
06037206201,77.7,155,43.76,23.6
06037206202,87.9,121,60.47,42.2
06037206301,70.8,113,37.89,74
06037206302,80.1,106,41.67,67.5
06037206303,77.7,160,36.83,74.3
06037207101,83.3,143,58.37,26.4
06037207102,89.8,160,48.57,23.5
06037207103,89,93,56.05,25.8
06037207303,64,161,53.24,23
06037207304,90,220,48.05,43.8
06037207305,49.6,60,55.22,10
06037207306,61.8,118,50.89,20.7
06037207307,74.1,76,56.47,44.8
06037207308,48.8,63,50.00,9.1
06037207400,75.4,77,62.47,28.4
06037207501,76.1,61,37.65,11
06037207502,73.5,228,54.47,40.5
06037207711,64.4,91,40.62,7.7
06037207712,80.1,301,60.95,24.3
06037207901,76.7,156,39.32,30.8
06037207902,71.5,216,50.87,21
06037208001,85.9,322,50.59,17.8
06037208002,90.7,273,58.45,30.7
06037208301,95.8,287,52.70,38.8
06037208302,90.8,361,46.92,25.5
06037208401,96.3,518,54.08,20.8
06037208402,88.8,192,47.25,16.9
06037208501,89.3,97,44.24,17.2
06037208502,94.4,523,65.26,20.7
06037208610,92.5,292,45.62,15.7
06037208620,93.8,182,52.90,16.2
